,Date,daynight_category,temp
2547,2013-12-14,night,4.5409090909090875
2548,2013-12-15,day,5.351923076923081
2549,2013-12-15,night,5.200000000000003
2550,2013-12-16,day,5.659615384615387
2551,2013-12-16,night,5.579545454545457
2552,2013-12-17,day,4.390384615384615
2553,2013-12-17,night,4.718181818181818
2554,2013-12-18,day,5.194230769230772
2555,2013-12-18,night,4.781818181818183
2556,2013-12-19,day,3.2403846153846154
2557,2013-12-19,night,3.4340909090909078
2558,2013-12-20,day,2.380769230769231
2559,2013-12-20,night,2.7431818181818177
2560,2013-12-21,day,4.361538461538461
2561,2013-12-21,night,4.288636363636361
2562,2013-12-22,day,5.4365384615384595
2563,2013-12-22,night,5.481818181818186
2564,2013-12-23,day,6.048076923076925
2565,2013-12-23,night,5.840909090909093
2566,2013-12-24,day,5.0942307692307685
2567,2013-12-24,night,5.036363636363634
2568,2013-12-25,day,3.7153846153846124
2569,2013-12-25,night,4.079545454545456
2570,2013-12-26,day,3.8576923076923064
2571,2013-12-26,night,4.004545454545458
2572,2013-12-27,day,3.9807692307692326
2573,2013-12-27,night,4.152272727272728
2574,2013-12-28,day,5.292307692307696
2575,2013-12-28,night,5.072727272727272
2576,2013-12-29,day,4.35
2577,2013-12-29,night,4.675000000000001
2578,2013-12-30,day,4.488461538461539
2579,2013-12-30,night,4.620454545454545
2580,2013-12-31,day,5.530769230769233
2581,2013-12-31,night,5.445454545454549
2582,2014-01-01,day,5.082692307692307
2583,2014-01-01,night,5.3568181818181815
2584,2014-01-02,day,5.601960784313726
2585,2014-01-02,night,5.5749999999999975
2586,2014-01-03,day,5.305769230769234
2587,2014-01-03,night,5.388636363636364
2588,2014-01-04,day,3.313461538461537
2589,2014-01-04,night,3.299999999999999
2590,2014-01-05,day,2.3615384615384616
2591,2014-01-05,night,2.334090909090911
2592,2014-01-06,day,2.9038461538461537
2593,2014-01-06,night,2.9022727272727264
2594,2014-01-07,day,4.546153846153848
2595,2014-01-07,night,4.399999999999999
2596,2014-01-08,day,5.2730769230769265
2597,2014-01-08,night,5.256818181818182
2598,2014-01-09,day,5.1096153846153864
2599,2014-01-09,night,5.368181818181819
2600,2014-01-10,day,5.648076923076925
2601,2014-01-10,night,5.706818181818184
2602,2014-01-11,day,6.40769230769231
2603,2014-01-11,night,6.161363636363635
2604,2014-01-12,day,5.140384615384617
2605,2014-01-12,night,5.302272727272729
2606,2014-01-13,day,6.076923076923074
2607,2014-01-13,night,5.977272727272726
2608,2014-01-14,day,6.15769230769231
2609,2014-01-14,night,6.245454545454546
2610,2014-01-15,day,5.036538461538464
2611,2014-01-15,night,5.381818181818177
2612,2014-01-16,day,4.6461538461538465
2613,2014-01-16,night,5.006818181818181
2614,2014-01-17,day,4.409615384615387
2615,2014-01-17,night,4.76590909090909
2616,2014-01-18,day,4.121153846153847
2617,2014-01-18,night,4.318181818181821
2618,2014-01-19,day,4.353846153846151
2619,2014-01-19,night,4.484090909090912
2620,2014-01-20,day,4.246153846153847
2621,2014-01-20,night,4.424999999999998
2622,2014-01-21,day,4.346153846153848
2623,2014-01-21,night,4.35909090909091
2624,2014-01-22,day,5.448076923076922
2625,2014-01-22,night,5.2204545454545475
2626,2014-01-23,day,5.2423076923076914
2627,2014-01-23,night,4.993181818181819
2628,2014-01-24,day,4.430769230769231
2629,2014-01-24,night,4.288636363636368
2630,2014-01-25,day,4.071153846153846
2631,2014-01-25,night,4.03409090909091
2632,2014-01-26,day,3.7326923076923086
2633,2014-01-26,night,3.572727272727272
2634,2014-01-27,day,3.74230769230769
2635,2014-01-27,night,3.909090909090911
2636,2014-01-28,day,5.292307692307694
2637,2014-01-28,night,5.095454545454549
2638,2014-01-29,day,6.269230769230774
2639,2014-01-29,night,6.038636363636363
2640,2014-01-30,day,5.57884615384615
2641,2014-01-30,night,5.7022727272727325
2642,2014-01-31,day,5.209615384615385
2643,2014-01-31,night,5.131818181818182
2644,2014-02-01,day,5.257692307692306
2645,2014-02-01,night,5.104545454545453
2646,2014-02-02,day,4.257692307692308
2647,2014-02-02,night,4.4068181818181795
2648,2014-02-03,day,3.772
2649,2014-02-03,night,3.4522727272727276
2650,2014-02-04,day,2.042307692307693
2651,2014-02-04,night,1.9340909090909086
2652,2014-02-05,day,0.038461538461538464
