"","start_datetime","end_datetime","In","midpoint","StartDate","EndDate","chum0_mixed_num","steelheadsmolt_wild_num","steelheadsmolt_hatchery_num","coho1_wild_num","coho1_hatchery_num","coho0_wild_num","chinook1_hatchery_num","chinook0_wild_num","chinook0_hatchery_num"
"206",2017-05-14 19:00:00,2017-05-15 08:30:00,13.5,2017-05-15 01:45:00,2017-05-14,2017-05-15,28,10,9,17,27,3,1,130,0
"207",2017-05-15 08:30:00,2017-05-15 19:30:00,11,2017-05-15 14:00:00,2017-05-15,2017-05-15,4,0,0,1,0,5,0,52,0
"208",2017-05-15 19:30:00,2017-05-16 08:00:00,12.5,2017-05-16 01:45:00,2017-05-15,2017-05-16,16,17,9,32,20,1,0,196,0
"209",2017-05-16 08:00:00,2017-05-16 18:15:00,10.25,2017-05-16 13:07:30,2017-05-16,2017-05-16,23,0,0,0,0,3,0,208,0
"210",2017-05-16 18:15:00,2017-05-17 07:45:00,13.5,2017-05-17 01:00:00,2017-05-16,2017-05-17,8,29,11,33,14,5,0,277,0
"211",2017-05-17 07:45:00,2017-05-17 18:30:00,10.75,2017-05-17 13:07:30,2017-05-17,2017-05-17,11,0,0,0,0,3,0,97,0
"212",2017-05-17 18:30:00,2017-05-18 08:20:00,13.8333333333333,2017-05-18 01:25:00,2017-05-17,2017-05-18,4,18,13,40,5,1,0,153,0
"213",2017-05-18 08:20:00,2017-05-18 18:40:00,10.3333333333333,2017-05-18 13:30:00,2017-05-18,2017-05-18,10,0,0,1,0,3,0,175,0
"214",2017-05-18 18:40:00,2017-05-19 08:00:00,13.3333333333333,2017-05-19 01:20:00,2017-05-18,2017-05-19,3,21,13,30,25,5,0,115,0
"215",2017-05-19 08:00:00,2017-05-19 18:40:00,10.6666666666667,2017-05-19 13:20:00,2017-05-19,2017-05-19,9,0,0,0,0,1,0,70,0
"216",2017-05-19 18:40:00,2017-05-20 08:00:00,13.3333333333333,2017-05-20 01:20:00,2017-05-19,2017-05-20,2,18,13,18,12,2,0,69,0
"217",2017-05-20 08:00:00,2017-05-20 19:30:00,11.5,2017-05-20 13:45:00,2017-05-20,2017-05-20,7,0,0,1,0,1,0,67,0
"218",2017-05-20 19:30:00,2017-05-21 07:30:00,12,2017-05-21 01:30:00,2017-05-20,2017-05-21,2,21,13,16,8,0,0,60,0
"219",2017-05-21 07:30:00,2017-05-21 19:30:00,12,2017-05-21 13:30:00,2017-05-21,2017-05-21,4,0,0,0,0,0,0,50,0
"220",2017-05-21 19:30:00,2017-05-22 08:00:00,12.5,2017-05-22 01:45:00,2017-05-21,2017-05-22,1,24,11,17,7,8,0,56,0
"221",2017-05-22 08:00:00,2017-05-22 19:00:00,11,2017-05-22 13:30:00,2017-05-22,2017-05-22,2,0,0,1,0,8,0,72,0
"222",2017-05-22 19:00:00,2017-05-23 08:30:00,13.5,2017-05-23 01:45:00,2017-05-22,2017-05-23,2,19,12,3,3,22,0,121,0
"223",2017-05-23 08:30:00,2017-05-23 18:30:00,10,2017-05-23 13:30:00,2017-05-23,2017-05-23,11,0,0,0,0,2,0,76,0
"224",2017-05-23 18:30:00,2017-05-24 08:10:00,13.6666666666667,2017-05-24 01:20:00,2017-05-23,2017-05-24,2,10,10,12,5,6,0,132,0
"225",2017-05-24 08:10:00,2017-05-24 18:20:00,10.1666666666667,2017-05-24 13:15:00,2017-05-24,2017-05-24,3,0,0,0,0,2,0,29,0
"226",2017-05-24 18:20:00,2017-05-25 07:40:00,13.3333333333333,2017-05-25 01:00:00,2017-05-24,2017-05-25,5,1,3,2,3,6,0,145,0
"227",2017-05-25 07:40:00,2017-05-25 18:50:00,11.1666666666667,2017-05-25 13:15:00,2017-05-25,2017-05-25,0,0,0,0,0,1,0,61,0
