"","start_datetime","end_datetime","In","midpoint","StartDate","EndDate","chum0_mixed_num","steelheadsmolt_wild_num","steelheadsmolt_hatchery_num","coho1_mixed_num","coho1_hatchery_num","coho0_wild_num","chinook1_hatchery_num","chinook0_wild_num","chinook0_hatchery_num"
"139",2021-04-15 08:30:00,2021-04-15 19:30:00,11,2021-04-15 14:00:00,2021-04-15,2021-04-15,158,0,0,0,0,0,0,2,0
"140",2021-04-15 19:30:00,2021-04-16 08:30:00,13,2021-04-16 02:00:00,2021-04-15,2021-04-16,886,0,1,0,0,0,0,9,1
"141",2021-04-16 08:30:00,2021-04-16 19:40:00,11.1666666666667,2021-04-16 14:05:00,2021-04-16,2021-04-16,203,0,0,0,0,2,0,0,0
"142",2021-04-16 19:40:00,2021-04-17 08:15:00,12.5833333333333,2021-04-17 01:57:30,2021-04-16,2021-04-17,1078,0,0,1,0,18,1,13,0
"143",2021-04-17 08:15:00,2021-04-17 19:30:00,11.25,2021-04-17 13:52:30,2021-04-17,2021-04-17,260,0,0,0,0,0,0,0,0
"144",2021-04-17 19:30:00,2021-04-18 08:00:00,12.5,2021-04-18 01:45:00,2021-04-17,2021-04-18,926,0,0,2,0,13,1,26,2
"145",2021-04-18 08:00:00,2021-04-18 19:30:00,11.5,2021-04-18 13:45:00,2021-04-18,2021-04-18,273,0,0,0,0,1,0,6,0
"146",2021-04-18 19:30:00,2021-04-19 09:00:00,13.5,2021-04-19 02:15:00,2021-04-18,2021-04-19,600,0,0,1,0,20,1,152,0
"147",2021-04-19 09:00:00,2021-04-19 19:30:00,10.5,2021-04-19 14:15:00,2021-04-19,2021-04-19,170,0,0,0,0,0,0,5,0
"148",2021-04-19 19:30:00,2021-04-20 09:30:00,14,2021-04-20 02:30:00,2021-04-19,2021-04-20,1590,1,0,1,0,1,6,22,0
"149",2021-04-20 09:30:00,2021-04-20 20:00:00,10.5,2021-04-20 14:45:00,2021-04-20,2021-04-20,150,0,0,0,0,0,0,1,0
"150",2021-04-20 20:00:00,2021-04-21 08:00:00,12,2021-04-21 02:00:00,2021-04-20,2021-04-21,521,0,2,2,0,5,5,31,0
"151",2021-04-21 08:00:00,2021-04-21 19:35:00,11.5833333333333,2021-04-21 13:47:30,2021-04-21,2021-04-21,115,0,0,0,0,1,0,11,0
"152",2021-04-21 19:35:00,2021-04-22 08:45:00,13.1666666666667,2021-04-22 02:10:00,2021-04-21,2021-04-22,438,0,0,80,0,4,3,10,0
"153",2021-04-22 08:45:00,2021-04-22 20:30:00,11.75,2021-04-22 14:37:30,2021-04-22,2021-04-22,67,0,0,0,0,0,0,6,0
"154",2021-04-22 20:30:00,2021-04-23 08:45:00,12.25,2021-04-23 02:37:30,2021-04-22,2021-04-23,183,0,2,157,0,0,2,17,0
"155",2021-04-23 08:45:00,2021-04-23 19:45:00,11,2021-04-23 14:15:00,2021-04-23,2021-04-23,24,0,0,1,0,1,0,2,0
"156",2021-04-23 19:45:00,2021-04-24 08:15:00,12.5,2021-04-24 02:00:00,2021-04-23,2021-04-24,141,0,2,84,0,0,2,3,0
"157",2021-04-24 08:15:00,2021-04-24 19:30:00,11.25,2021-04-24 13:52:30,2021-04-24,2021-04-24,37,0,0,0,0,0,0,0,0
"158",2021-04-24 19:30:00,2021-04-25 08:20:00,12.8333333333333,2021-04-25 01:55:00,2021-04-24,2021-04-25,266,1,0,20,0,1,0,12,0
