"","start_datetime","end_datetime","In","midpoint","StartDate","EndDate","pink0_wild_num","chum0_mixed_num","steelheadsmolt_wild_num","steelheadsmolt_hatchery_num","coho1_mixed_num","coho1_hatchery_num","coho0_wild_num","chinook1_wild_num","chinook1_hatchery_num","chinook0_wild_num","chinook0_hatchery_num"
"93",2022-03-17 08:10:00,2022-03-17 18:00:00,9.83333333333333,2022-03-17 13:05:00,2022-03-17,2022-03-17,431,78,0,0,0,0,0,0,0,2,0
"94",2022-03-17 18:00:00,2022-03-18 07:15:00,13.25,2022-03-18 00:37:30,2022-03-17,2022-03-18,1703,128,0,0,1,0,9,0,0,2,0
"95",2022-03-18 07:15:00,2022-03-18 18:10:00,10.9166666666667,2022-03-18 12:42:30,2022-03-18,2022-03-18,311,132,0,0,0,0,0,0,0,5,0
"96",2022-03-18 18:10:00,2022-03-19 07:20:00,13.1666666666667,2022-03-19 00:45:00,2022-03-18,2022-03-19,2271,382,0,0,2,0,2,0,0,4,0
"97",2022-03-19 07:20:00,2022-03-19 18:00:00,10.6666666666667,2022-03-19 12:40:00,2022-03-19,2022-03-19,412,216,0,0,0,0,0,0,0,1,0
"98",2022-03-19 18:00:00,2022-03-20 07:30:00,13.5,2022-03-20 00:45:00,2022-03-19,2022-03-20,2176,999,0,0,0,0,3,0,0,2,0
"99",2022-03-20 07:30:00,2022-03-20 17:55:00,10.4166666666667,2022-03-20 12:42:30,2022-03-20,2022-03-20,166,66,0,0,0,0,0,0,0,1,0
"100",2022-03-20 17:55:00,2022-03-21 07:25:00,13.5,2022-03-21 00:40:00,2022-03-20,2022-03-21,4166,489,0,0,3,0,4,0,0,2,0
"101",2022-03-21 07:25:00,2022-03-21 18:10:00,10.75,2022-03-21 12:47:30,2022-03-21,2022-03-21,327,205,0,0,0,0,0,0,0,3,0
"102",2022-03-21 18:10:00,2022-03-22 07:30:00,13.3333333333333,2022-03-22 00:50:00,2022-03-21,2022-03-22,2001,238,0,0,5,0,1,1,0,2,0
"103",2022-03-22 07:30:00,2022-03-22 18:10:00,10.6666666666667,2022-03-22 12:50:00,2022-03-22,2022-03-22,738,360,0,0,0,0,0,0,0,2,0
"104",2022-03-22 18:10:00,2022-03-23 07:30:00,13.3333333333333,2022-03-23 00:50:00,2022-03-22,2022-03-23,2703,611,0,0,1,0,7,0,0,6,0
"105",2022-03-23 07:30:00,2022-03-23 18:00:00,10.5,2022-03-23 12:45:00,2022-03-23,2022-03-23,316,134,0,0,0,0,0,0,0,1,0
"106",2022-03-23 18:00:00,2022-03-24 10:50:00,16.8333333333333,2022-03-24 02:25:00,2022-03-23,2022-03-24,1589,358,0,0,2,0,2,0,0,1,0
"107",2022-03-24 10:50:00,2022-03-25 10:10:00,23.3333333333333,2022-03-24 22:30:00,2022-03-24,2022-03-25,1656,241,0,0,3,0,6,0,0,4,0
"108",2022-03-25 10:10:00,2022-03-26 07:00:00,20.8333333333333,2022-03-25 20:35:00,2022-03-25,2022-03-26,2596,173,0,0,0,0,3,0,0,1,0
"109",2022-03-26 07:00:00,2022-03-26 18:10:00,11.1666666666667,2022-03-26 12:35:00,2022-03-26,2022-03-26,2314,428,0,0,0,0,1,0,0,6,0
"110",2022-03-26 18:10:00,2022-03-27 07:00:00,12.8333333333333,2022-03-27 00:35:00,2022-03-26,2022-03-27,1200,284,0,0,0,0,5,0,0,4,0
"111",2022-03-27 07:00:00,2022-03-27 18:30:00,11.5,2022-03-27 12:45:00,2022-03-27,2022-03-27,1458,578,0,0,2,0,0,0,0,4,0
"112",2022-03-28 06:30:00,2022-03-28 18:30:00,12,2022-03-28 12:30:00,2022-03-28,2022-03-28,791,214,0,0,0,0,0,0,0,1,0
"113",2022-03-28 18:30:00,2022-03-29 06:30:00,12,2022-03-29 00:30:00,2022-03-28,2022-03-29,4259,293,0,0,1,0,5,0,0,4,0
"114",2022-03-29 06:30:00,2022-03-29 18:25:00,11.9166666666667,2022-03-29 12:27:30,2022-03-29,2022-03-29,2685,244,0,0,0,0,0,0,0,3,0
"115",2022-03-29 18:25:00,2022-03-30 11:00:00,16.5833333333333,2022-03-30 02:42:30,2022-03-29,2022-03-30,7011,1106,0,0,0,0,5,0,1,2,0
"116",2022-04-01 17:00:00,2022-04-02 07:30:00,14.5,2022-04-02 00:15:00,2022-04-01,2022-04-02,8172,1185,0,0,1,0,2,0,0,3,0
"117",2022-04-02 07:30:00,2022-04-02 18:00:00,10.5,2022-04-02 12:45:00,2022-04-02,2022-04-02,925,146,0,0,0,0,0,0,0,0,0
"118",2022-04-02 18:00:00,2022-04-03 07:30:00,13.5,2022-04-03 00:45:00,2022-04-02,2022-04-03,12878,1581,0,0,0,0,3,0,0,5,0
"119",2022-04-03 07:30:00,2022-04-03 18:10:00,10.6666666666667,2022-04-03 12:50:00,2022-04-03,2022-04-03,547,115,0,0,0,0,0,0,0,1,0
"120",2022-04-03 18:10:00,2022-04-04 07:30:00,13.3333333333333,2022-04-04 00:50:00,2022-04-03,2022-04-04,8991,1796,0,0,0,0,3,0,0,11,0
"121",2022-04-04 07:30:00,2022-04-04 18:00:00,10.5,2022-04-04 12:45:00,2022-04-04,2022-04-04,417,305,0,0,0,0,0,0,0,3,0
"122",2022-04-05 19:00:00,2022-04-06 07:45:00,12.75,2022-04-06 01:22:30,2022-04-05,2022-04-06,4646,388,0,0,0,0,0,0,0,1,0
"123",2022-04-06 07:45:00,2022-04-06 18:00:00,10.25,2022-04-06 12:52:30,2022-04-06,2022-04-06,1136,124,0,0,0,0,0,0,0,2,0
"124",2022-04-06 18:00:00,2022-04-07 08:00:00,14,2022-04-07 01:00:00,2022-04-06,2022-04-07,6247,2997,0,0,0,0,0,2,0,0,0
"125",2022-04-07 08:00:00,2022-04-07 18:15:00,10.25,2022-04-07 13:07:30,2022-04-07,2022-04-07,647,350,0,0,0,0,0,0,0,0,0
"126",2022-04-07 18:15:00,2022-04-08 06:30:00,12.25,2022-04-08 00:22:30,2022-04-07,2022-04-08,6849,568,0,0,0,0,0,0,0,1,0
"127",2022-04-08 06:30:00,2022-04-08 18:15:00,11.75,2022-04-08 12:22:30,2022-04-08,2022-04-08,1181,317,0,0,0,0,0,0,0,1,0
"128",2022-04-08 18:15:00,2022-04-09 07:00:00,12.75,2022-04-09 00:37:30,2022-04-08,2022-04-09,6779,4276,0,0,1,0,1,0,0,4,0
"129",2022-04-09 07:00:00,2022-04-09 19:00:00,12,2022-04-09 13:00:00,2022-04-09,2022-04-09,575,75,0,0,0,0,0,0,0,0,0
"130",2022-04-09 19:00:00,2022-04-10 06:30:00,11.5,2022-04-10 00:45:00,2022-04-09,2022-04-10,9395,700,0,0,2,0,3,0,0,1,0
"131",2022-04-10 06:30:00,2022-04-10 19:15:00,12.75,2022-04-10 12:52:30,2022-04-10,2022-04-10,411,208,0,0,0,0,0,0,0,0,0
"132",2022-04-10 19:15:00,2022-04-11 07:00:00,11.75,2022-04-11 01:07:30,2022-04-10,2022-04-11,5999,1812,0,0,0,0,0,0,0,3,0
"133",2022-04-11 07:00:00,2022-04-11 18:30:00,11.5,2022-04-11 12:45:00,2022-04-11,2022-04-11,198,1046,0,0,0,0,0,0,0,1,0
"134",2022-04-15 19:00:00,2022-04-16 07:00:00,12,2022-04-16 01:00:00,2022-04-15,2022-04-16,5329,5010,0,0,1,1,1,0,0,4,0
"135",2022-04-16 07:00:00,2022-04-16 19:00:00,12,2022-04-16 13:00:00,2022-04-16,2022-04-16,176,65,0,0,0,0,0,0,0,0,0
"136",2022-04-16 19:00:00,2022-04-17 06:00:00,11,2022-04-17 00:30:00,2022-04-16,2022-04-17,2322,2680,0,0,1,0,1,0,0,8,0
"137",2022-04-17 06:00:00,2022-04-17 19:10:00,13.1666666666667,2022-04-17 12:35:00,2022-04-17,2022-04-17,450,263,0,0,0,0,0,0,0,1,0
"138",2022-04-18 07:30:00,2022-04-18 07:30:00,0,2022-04-18 07:30:00,2022-04-18,2022-04-18,3264,359,0,0,0,0,1,0,1,2,0
"139",2022-04-18 07:30:00,2022-04-18 18:45:00,11.25,2022-04-18 13:07:30,2022-04-18,2022-04-18,163,159,0,0,0,0,0,0,0,0,0
"140",2022-04-18 18:45:00,2022-04-19 07:35:00,12.8333333333333,2022-04-19 01:10:00,2022-04-18,2022-04-19,3658,1675,0,0,0,0,1,0,0,1,0
"141",2022-04-21 19:00:00,2022-04-22 07:35:00,12.5833333333333,2022-04-22 01:17:30,2022-04-21,2022-04-22,5041,363,0,0,6,0,0,0,0,0,0
"142",2022-04-22 07:35:00,2022-04-22 19:00:00,11.4166666666667,2022-04-22 13:17:30,2022-04-22,2022-04-22,44,67,0,0,0,0,0,0,0,0,0
"143",2022-04-22 19:00:00,2022-04-23 07:00:00,12,2022-04-23 01:00:00,2022-04-22,2022-04-23,4039,212,0,0,11,0,0,0,0,0,0
"144",2022-04-23 07:00:00,2022-04-23 19:15:00,12.25,2022-04-23 13:07:30,2022-04-23,2022-04-23,471,149,0,0,0,0,0,0,0,0,0
"145",2022-04-23 19:15:00,2022-04-24 07:00:00,11.75,2022-04-24 01:07:30,2022-04-23,2022-04-24,4398,166,0,0,8,0,0,0,0,0,0
"146",2022-04-24 07:00:00,2022-04-24 19:00:00,12,2022-04-24 13:00:00,2022-04-24,2022-04-24,112,75,0,0,2,0,0,0,0,0,0
"147",2022-04-24 19:00:00,2022-04-25 07:20:00,12.3333333333333,2022-04-25 01:10:00,2022-04-24,2022-04-25,4053,57,0,1,6,0,0,0,0,0,0
"148",2022-04-25 07:20:00,2022-04-25 19:00:00,11.6666666666667,2022-04-25 13:10:00,2022-04-25,2022-04-25,64,33,0,0,0,0,0,0,0,0,0
"149",2022-04-25 19:00:00,2022-04-26 07:15:00,12.25,2022-04-26 01:07:30,2022-04-25,2022-04-26,7010,2563,0,0,16,0,0,0,0,0,0
"150",2022-04-26 07:15:00,2022-04-26 18:30:00,11.25,2022-04-26 12:52:30,2022-04-26,2022-04-26,652,202,0,0,1,0,0,0,0,0,0
"151",2022-04-26 18:30:00,2022-04-27 07:40:00,13.1666666666667,2022-04-27 01:05:00,2022-04-26,2022-04-27,5152,645,0,0,12,0,0,0,0,0,0
"152",2022-04-27 07:40:00,2022-04-27 18:45:00,11.0833333333333,2022-04-27 13:12:30,2022-04-27,2022-04-27,232,101,0,0,1,0,0,0,0,0,0
"153",2022-04-27 18:45:00,2022-04-28 07:45:00,13,2022-04-28 01:15:00,2022-04-27,2022-04-28,3698,192,0,0,33,0,0,0,0,0,0
"154",2022-04-28 07:45:00,2022-04-28 19:00:00,11.25,2022-04-28 13:22:30,2022-04-28,2022-04-28,101,25,0,0,2,0,0,0,0,0,0
"155",2022-04-28 19:00:00,2022-04-29 07:35:00,12.5833333333333,2022-04-29 01:17:30,2022-04-28,2022-04-29,2586,323,0,0,15,0,0,0,0,0,0
