"","StartDate","EndDate","StartTime","EndTime","chinook0_wild_num","chinook0_hatchery_num","chinook1_wild_num","chum0_wild_num","coho0_wild_num","coho1_wild_num","coho1_hatchery_num","steelheadsmolt_wild_num","sockeye0_wild_num","sockeye1_wild_num","pink0_wild_num","start_datetime","end_datetime","In","midpoint"
"94",2015-04-15,2015-04-15,1899-12-30 08:00:00,1899-12-30 20:45:00,5,0,1,550,3,0,0,0,0,0,0,2015-04-15 08:00:00,2015-04-15 20:45:00,12.75,2015-04-15 14:22:30
"95",2015-04-15,2015-04-16,1899-12-30 21:00:00,1899-12-30 07:30:00,8,0,12,870,2,0,0,1,0,0,0,2015-04-15 21:00:00,2015-04-16 07:30:00,10.5,2015-04-16 02:15:00
"96",2015-04-16,2015-04-17,1899-12-30 21:00:00,1899-12-30 07:30:00,2,0,2,560,2,17,0,1,0,1,0,2015-04-16 21:00:00,2015-04-17 07:30:00,10.5,2015-04-17 02:15:00
"97",2015-04-17,2015-04-18,1899-12-30 21:00:00,1899-12-30 07:30:00,4,0,1,640,0,11,0,2,0,0,0,2015-04-17 21:00:00,2015-04-18 07:30:00,10.5,2015-04-18 02:15:00
"98",2015-04-18,2015-04-18,1899-12-30 08:00:00,1899-12-30 20:30:00,2,0,0,210,0,2,0,0,0,0,0,2015-04-18 08:00:00,2015-04-18 20:30:00,12.5,2015-04-18 14:15:00
"99",2015-04-18,2015-04-19,1899-12-30 21:00:00,1899-12-30 07:30:00,0,0,0,340,0,26,0,0,0,1,0,2015-04-18 21:00:00,2015-04-19 07:30:00,10.5,2015-04-19 02:15:00
"100",2015-04-19,2015-04-20,1899-12-30 21:00:00,1899-12-30 07:30:00,8,0,0,130,0,40,0,7,0,4,0,2015-04-19 21:00:00,2015-04-20 07:30:00,10.5,2015-04-20 02:15:00
"101",2015-04-20,2015-04-21,1899-12-30 21:00:00,1899-12-30 07:30:00,9,0,0,370,2,30,0,3,0,0,0,2015-04-20 21:00:00,2015-04-21 07:30:00,10.5,2015-04-21 02:15:00
"102",2015-04-21,2015-04-21,1899-12-30 07:45:00,1899-12-30 21:00:00,1,0,0,110,0,7,0,0,0,0,0,2015-04-21 07:45:00,2015-04-21 21:00:00,13.25,2015-04-21 14:22:30
"103",2015-04-21,2015-04-22,1899-12-30 21:15:00,1899-12-30 07:30:00,16,0,0,1660,4,23,0,5,0,0,2,2015-04-21 21:15:00,2015-04-22 07:30:00,10.25,2015-04-22 02:22:30
